           monday  tuesday wednesday thursday   friday saturday   sunday
21:00:00   MIS781  leisure   leisure  leisure   MIS761  leisure  leisure
21:15:00   MIS781  leisure   leisure  leisure   MIS761  leisure  leisure
21:30:00   MIS781  leisure   leisure  leisure   MIS761  leisure  leisure
21:45:00   MIS781  leisure   leisure  leisure  leisure  leisure  leisure
22:00:00  leisure  leisure   leisure  leisure  leisure  leisure  leisure
22:15:00  leisure  leisure   leisure  leisure  leisure  leisure  leisure
22:30:00  leisure  leisure   leisure  leisure  leisure  leisure  leisure
22:45:00  leisure  leisure   leisure  leisure  leisure  leisure  leisure
23:00:00  leisure  leisure   leisure  leisure  leisure  leisure  leisure
         count  goal
sleep    57.75  56.0
leisure  51.50  28.0
meal     22.75  22.0
swim     10.50  10.0
IS491     7.50   6.7
MIS761    6.75   6.7
ECO772    3.00  12.0
MIS781    3.00  12.0
target hours: 153.4
excess leisure: 33.5
